epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,771.972,1.55463,1.15165,1.20718,0.70108,0.67071,0.70763,0.38415,1.62861,1.21764,1.30519,6.0895e-06,6.0895e-06,6.0895e-06
81,781.215,1.56092,1.14371,1.201,0.70397,0.69389,0.71129,0.38529,1.62805,1.21428,1.30456,6.04e-06,6.04e-06,6.04e-06
82,790.387,1.59332,1.16449,1.20807,0.69497,0.68749,0.7093,0.38408,1.62646,1.21411,1.30034,5.9905e-06,5.9905e-06,5.9905e-06
83,800.022,1.56901,1.1412,1.20141,0.6857,0.69526,0.7055,0.3809,1.62725,1.21438,1.29894,5.941e-06,5.941e-06,5.941e-06
84,809.321,1.5761,1.16161,1.19699,0.68196,0.6892,0.70619,0.38333,1.62822,1.21047,1.29775,5.8915e-06,5.8915e-06,5.8915e-06
85,818.549,1.56564,1.16891,1.20775,0.68387,0.67343,0.71052,0.3848,1.62802,1.20785,1.29848,5.842e-06,5.842e-06,5.842e-06
86,827.98,1.57099,1.15493,1.19091,0.69457,0.68091,0.71278,0.38299,1.62697,1.20666,1.29948,5.7925e-06,5.7925e-06,5.7925e-06
87,837.509,1.55184,1.14264,1.1981,0.67852,0.7007,0.71215,0.38221,1.62769,1.20594,1.30136,5.743e-06,5.743e-06,5.743e-06
88,846.326,1.56935,1.15119,1.19469,0.68798,0.70552,0.712,0.38342,1.62808,1.20615,1.30158,5.6935e-06,5.6935e-06,5.6935e-06
89,855.91,1.56966,1.14534,1.20117,0.67019,0.70664,0.71221,0.38071,1.63194,1.20957,1.30513,5.644e-06,5.644e-06,5.644e-06
90,865.407,1.56349,1.13917,1.19324,0.6694,0.70762,0.70941,0.38136,1.63362,1.21073,1.30705,5.5945e-06,5.5945e-06,5.5945e-06
91,874.941,1.55244,1.16949,1.20882,0.68088,0.69254,0.70568,0.37947,1.6346,1.20903,1.30778,5.545e-06,5.545e-06,5.545e-06
92,883.866,1.5441,1.1332,1.19504,0.68829,0.69784,0.70733,0.38113,1.63456,1.20948,1.30798,5.4955e-06,5.4955e-06,5.4955e-06
93,892.941,1.56398,1.12723,1.19831,0.68715,0.69854,0.70611,0.38104,1.63591,1.21156,1.30871,5.446e-06,5.446e-06,5.446e-06
94,902.518,1.5521,1.1603,1.20913,0.6869,0.69995,0.70336,0.37922,1.6346,1.21219,1.30923,5.3965e-06,5.3965e-06,5.3965e-06
95,912.159,1.53614,1.14199,1.20784,0.68496,0.69673,0.70314,0.37911,1.63564,1.20939,1.3094,5.347e-06,5.347e-06,5.347e-06
96,920.883,1.55745,1.13377,1.21073,0.69414,0.69067,0.70407,0.38028,1.63438,1.20692,1.30848,5.2975e-06,5.2975e-06,5.2975e-06
